Book Date,  Description,  Book Balance,  Credit,  Debit,  Value Date,  Ref/Chq NO,  Transaction Branch
, Naveen Kumar Y-1100B0226012357,,,"-1,450.00", 07/01/2026, 601064140496," NETBANK, MUMBAI"
, Ashish Jasvant-1100B0226012369,,,"-4,077.50", 07/01/2026, HDFCH00722495935," NETBANK, MUMBAI"
, Rishabh Khalia-1100B0226012371,,,-736.47, 07/01/2026, HDFCH00722495936," NETBANK, MUMBAI"
, Bhabani Sankar-1100B0226012364,,,"-1,790.00", 07/01/2026, HDFCH00722490049," NETBANK, MUMBAI"
, KALPIT KUMAR D-1100B0226012358,,,-610, 07/01/2026, HDFCH00722499497," NETBANK, MUMBAI"
, Utkarsh Nigam-1100B0226012374,,,-910, 07/01/2026, HDFCH00722490050," NETBANK, MUMBAI"
, Lalit Kumar Gu-1100B0226012355,,,"-13,688.00", 07/01/2026, HDFCH00722490059," NETBANK, MUMBAI"
, Manoj kumar-1100B0226012368,,,-570, 07/01/2026, HDFCH00722498547," NETBANK, MUMBAI"
, Devendra Kumar-1100B0226012362,,,-940, 07/01/2026, HDFCH00722497829," NETBANK, MUMBAI"
, Suneel Kumar-1100B0226012353,,,"-1,157.00", 07/01/2026, HDFCH00722499574," NETBANK, MUMBAI"
, Ram Gopal-1100B0226012348,,,"-1,877.00", 07/01/2026, HDFCH00722497878," NETBANK, MUMBAI"
, Prdeep Kumar-1100B0226012351,,,"-1,151.00", 07/01/2026, HDFCH00722496673," NETBANK, MUMBAI"
, Sumit Kamalesh-1100B0226012359,,,"-4,130.00", 07/01/2026, HDFCH00722490074," NETBANK, MUMBAI"
, Deen Mohammad-1100B0226012340,,,"-1,550.00", 07/01/2026, HDFCH00722498827," NETBANK, MUMBAI"
, Ishan Aggarwal-1100B0226012367,,,-191.87, 07/01/2026, HDFCH00722490078," NETBANK, MUMBAI"
, Rahul Verma-1100B0226012379,,,"-1,054.75", 07/01/2026, HDFCH00722496001," NETBANK, MUMBAI"
, Rudra Narayan -1100B0226012375,,,"-2,493.00", 07/01/2026, HDFCH00722490080," NETBANK, MUMBAI"
, Ankit Mittal-1100B0226012366,,,-386, 07/01/2026, HDFCH00722498875," NETBANK, MUMBAI"
, Abhishek Soam-1100B0226012345,,,-140, 07/01/2026, HDFCH00722490081," NETBANK, MUMBAI"
, VISHAL CHAUHAN-1100B0226012370,,,"-8,058.00", 07/01/2026, HDFCH00722496689," NETBANK, MUMBAI"
, Ashutosh Anand-1100B0226012356,,,"-9,074.00", 07/01/2026, HDFCH00722498888," NETBANK, MUMBAI"
, Naveen Kumar-1100B0226012344,,,"-2,347.00", 07/01/2026, HDFCH00722496690," NETBANK, MUMBAI"
, Vikas Kumar Mi-1100B0226012373,,,"-10,196.09", 07/01/2026, HDFCH00722498973," NETBANK, MUMBAI"
, Piyush Jain-1100B0226012363,,,-711, 07/01/2026, HDFCH00722499013," NETBANK, MUMBAI"
, Rishabh Saini-1100B0226012361,,,"-2,098.00", 07/01/2026, HDFCH00722499022," NETBANK, MUMBAI"
, Jaswant Sharma-1100B0226012339,,,"-7,000.00", 07/01/2026, HDFCH00722498324," NETBANK, MUMBAI"
, Narendra Das-1100B0226012343,,,"-27,534.25", 07/01/2026, HDFCH00722499065," NETBANK, MUMBAI"
, Bhanu Bhardwaj-1100B0226012378,,,"-13,243.00", 07/01/2026, HDFCH00722499758," NETBANK, MUMBAI"
, Lovekesh Kumar-1100B0226012376,,,"-3,566.18", 07/01/2026, HDFCH00722496786," NETBANK, MUMBAI"
, Sanjay Dubey-1100B0226012365,,,"-4,048.00", 07/01/2026, HDFCH00722496278," NETBANK, MUMBAI"
, Ayush kumar-1100B0226012372,,,-943, 07/01/2026, HDFCH00722496336," NETBANK, MUMBAI"
, Mukesh Kumar J-1100B0226012349,,,"-13,840.50", 07/01/2026, HDFCH00722499082," NETBANK, MUMBAI"
, Rajesh Kumar K-1100B0226012352,,,"-13,000.00", 07/01/2026, HDFCH00722490089," NETBANK, MUMBAI"
, parth parekh-1100B0226012350,,,"-5,900.00", 07/01/2026, HDFCH00722496902," NETBANK, MUMBAI"
, 601065253223Vinod Kumr Giri 10022,,,"-61,792.20", 07/01/2026, HDFCH00722520237," NETBANK, MUMBAI"
, 601065248737Amogh Anand 15966,,,"-27,257.91", 07/01/2026, HDFCH00722519043," NETBANK, MUMBAI"
, 601065242424Shiv Shanker 15083,,,"-111,810.00", 07/01/2026, HDFCH00722521098," NETBANK, MUMBAI"
, 601065245732Sony Sharma 15715,,,"-14,554.00", 07/01/2026, HDFCH00722522492," NETBANK, MUMBAI"
, 601065250659Kapil Kumar15798,,,"-91,733.00", 07/01/2026, HDFCH00722518209," NETBANK, MUMBAI"
, 50100316116418-Shekhar Singh 15712,,,"-18,282.00", 07/01/2026, 601065254629," NETBANK, MUMBAI"
, 50100403294822-Vivek Giri 15973,,,"-37,492.00", 07/01/2026, 601065256173," NETBANK, MUMBAI"
, RTGS Cr ECMS-KKBK0000958-CMRLTD151LCU101407-GLOBAL METAL RECYCLERS-1145328738,," 518,300.00",, 07/01/2026, KKBKR52026010700780834, FORT
, IMPS CR ECMS-7217-CMRGR1100LCU101748-N F METALS RECYCLING-053126900000091,," 216,907.00",, 07/01/2026, 600730680435, FARIDABAD HARYANA
, RTGS Cr ECMS-ICIC0000011-CMRGR1100LCU101579-SHIVAANYA METAL ALLOYS-032705008599,," 2,900,000.00",, 07/01/2026, ICICR42026010700507545, FORT
, FT CR ECMS-CMRGR1100LCU101958-ALF METALS-50200069457979,," 509,733.00",, 07/01/2026, 000037, SECTOR 55 FARIDABAD
," RTGS Dr-UTIB0001609-AXISBANKLTD-NETBANK, MUM-HDFCR52026010754157605",,,"-1,110,000.00", 07/01/2026, HDFCR52026010754157605," NETBANK, MUMBAI"
, CBDT/Bank Reference No:Y2600744142306/CIN No:26010600578421HDFC/Online,,,"-4,418,967.00", 07/01/2026, 260106160060052," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012419,,,"-1,198,679.40", 07/01/2026, HDFCH00722889963," NETBANK, MUMBAI"
, VANCMRG2H-1100B0226012416,,,"-22,549.00", 07/01/2026, HDFCH00722890018," NETBANK, MUMBAI"
, CBDT/Bank Reference No:Y2600744149916/CIN No:26010600210295HDFC/Online,,,"-1,027,934.00", 07/01/2026, 260106120061308," NETBANK, MUMBAI"
, CBDT/Bank Reference No:Y2600744149712/CIN No:26010600202247HDFC/Online,,,"-39,889.00", 07/01/2026, 260106120054283," NETBANK, MUMBAI"
, CBDT/Bank Reference No:Y2600744149713/CIN No:26010600214325HDFC/Online,,,"-826,306.00", 07/01/2026, 260106120064810," NETBANK, MUMBAI"
, CBDT/Bank Reference No:Y2600744150054/CIN No:26010600184251HDFC/Online,,,"-6,102,682.00", 07/01/2026, 260106120038604," NETBANK, MUMBAI"
, CBDT/Bank Reference No:Y2600744150137/CIN No:26010600195529HDFC/Online,,,"-3,822,950.00", 07/01/2026, 260106120048402," NETBANK, MUMBAI"
, FT Cr ECMS-CMRLTD201LCU100820-MOHINI INDUSTRIES-50200033588193,," 1,487,000.00",, 07/01/2026, NBOEXB5LHDO69WUU," NETBANK, MUMBAI"
, RTGS Cr ECMS-KKBK0000958-CMRGR1100LCU101249-WHITEROCK-9945250938,," 2,550,000.00",, 07/01/2026, KKBKR12026010700847120, FORT
, IMPS CR ECMS-9211-CMRGE1100LCU101960-EDMANTIUMPRIVATELIMITED-925020031773647,," 50,000.00",, 07/01/2026, 600747968293, FARIDABAD HARYANA
, RTGS Cr ECMS-UTIB0000806-CMRGR1100LCU101508-SIDDHANATH JEWELLERS AND REFIN-923020003815564,," 7,000,000.00",, 07/01/2026, UTIBR62026010748559831, FORT
, FT Cr ECMS-CMRGR1100LCU101958-ALF METALS-50200069457979,," 43,131.00",, 07/01/2026, HDFCE298EC8437ED," NETBANK, MUMBAI"
, RTGS Cr ECMS-UTIB0000806-CMRGR1100LCU101508-SIDDHANATH JEWELLERS AND REFIN-922030054149128,," 500,000.00",, 07/01/2026, UTIBR62026010748588174, FORT
, RTGS Cr ECMS-UTIB0000806-CMRGR1100LCU101508-SIDDHANATH JEWELLERS AND REFIN-922030054149128,," 1,000,000.00",, 07/01/2026, UTIBR62026010748611138, FORT
, RTGS Cr ECMS-ICIC0000011-cmrltd201lcu100720-OM SAI TRADING CASTING WORKS-661305500656,," 536,310.00",, 07/01/2026, ICICR42026010700546599, FORT
, FT-PARM36CHE-SINOKOR MERCHANT MARINE CO LTD,,,"-4,956.00", 07/01/2026, 601075902846," NETBANK, MUMBAI"
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010712130978,," 10,000,000.00",, 07/01/2026, SBINR12026010712130978, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010712131018,," 10,000,000.00",, 07/01/2026, SBINR12026010712131018, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010712130979,," 10,000,000.00",, 07/01/2026, SBINR12026010712130979, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010712130974,," 10,000,000.00",, 07/01/2026, SBINR12026010712130974, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010712131038,," 10,000,000.00",, 07/01/2026, SBINR12026010712131038, CMS TF WBO MUMBAI
, COMM ON LIQD OF IMP COLL BILL,,,-177, 07/01/2026, 612BC05260070001," KUNDLI, SONEPAT"
, INW 311225I049902802 USD2500.0@89.7,," 224,250.00",, 07/01/2026, 070126189845," NETBANK, MUMBAI"
, 311225I049902802 DPO2600798394463 IGST,,,-291.83, 07/01/2026, 070126189852," NETBANK, MUMBAI"
, 10237NMCSALDEC25,,,"-25,317.00", 07/01/2026, 601065219058," NETBANK, MUMBAI"
, 10134NMCSALDEC25,,,"-21,143.00", 07/01/2026, 601065219060," NETBANK, MUMBAI"
, 10271NMCSALDEC25,,,"-26,437.00", 07/01/2026, 601065219068," NETBANK, MUMBAI"
, 14569NMCSALDEC25,,,"-15,058.00", 07/01/2026, 601065219047," NETBANK, MUMBAI"
, 10238NMCSALDEC25,,,"-27,832.00", 07/01/2026, 601065219055," NETBANK, MUMBAI"
, 14884NMCSALDEC25,,,"-11,204.27", 07/01/2026, 601065218969," NETBANK, MUMBAI"
, 15535NMCSALDEC25,,,"-13,547.00", 07/01/2026, HDFCH00725070031," NETBANK, MUMBAI"
, 15696NMCSALDEC25,,,"-12,979.00", 07/01/2026, HDFCH00725070033," NETBANK, MUMBAI"
, 13783NMCSALDEC25,,,"-18,902.00", 07/01/2026, HDFCH00725070034," NETBANK, MUMBAI"
, 10491NMCSALDEC25,,,"-20,758.00", 07/01/2026, HDFCH00725070035," NETBANK, MUMBAI"
, 13028NMCSALDEC25,,,"-19,527.00", 07/01/2026, HDFCH00725070036," NETBANK, MUMBAI"
, 15684NMCSALDEC25,,,"-12,594.02", 07/01/2026, HDFCH00725070037," NETBANK, MUMBAI"
, 15685NMCSALDEC25,,,"-12,573.02", 07/01/2026, HDFCH00725070038," NETBANK, MUMBAI"
, 80007NMCSALDEC25,,,"-17,172.48", 07/01/2026, HDFCH00725070039," NETBANK, MUMBAI"
, 10233NMCSALDEC25,,,"-13,650.37", 07/01/2026, HDFCH00725070041," NETBANK, MUMBAI"
, 15748NMCSALDEC25,,,"-15,083.00", 07/01/2026, HDFCH00725070043," NETBANK, MUMBAI"
, 14528NMCSALDEC25,,,"-22,176.00", 07/01/2026, HDFCH00725070045," NETBANK, MUMBAI"
, 12978NMCSALDEC25,,,"-22,286.00", 07/01/2026, HDFCH00725070046," NETBANK, MUMBAI"
, 14705NMCSALDEC25,,,"-16,409.00", 07/01/2026, HDFCH00725070047," NETBANK, MUMBAI"
, 10104NMCSALDEC25,,,"-29,005.00", 07/01/2026, HDFCH00725070049," NETBANK, MUMBAI"
, 10105NMCSALDEC25,,,"-30,144.00", 07/01/2026, HDFCH00725070050," NETBANK, MUMBAI"
, 10174NMCSALDEC25,,,"-22,614.00", 07/01/2026, HDFCH00725070051," NETBANK, MUMBAI"
, 10227NMCSALDEC25,,,"-21,552.00", 07/01/2026, HDFCH00725070052," NETBANK, MUMBAI"
, 10103NMCSALDEC25,,,"-30,307.00", 07/01/2026, HDFCH00725070053," NETBANK, MUMBAI"
, 10048NMCSALDEC25,,,"-24,054.77", 07/01/2026, HDFCH00725070054," NETBANK, MUMBAI"
, 10175NMCSALDEC25,,,"-28,298.00", 07/01/2026, HDFCH00725070055," NETBANK, MUMBAI"
, 10226NMCSALDEC25,,,"-28,574.00", 07/01/2026, HDFCH00725070057," NETBANK, MUMBAI"
, 15584NMCSALDEC25,,,"-14,136.00", 07/01/2026, HDFCH00725070058," NETBANK, MUMBAI"
, 15586NMCSALDEC25,,,"-13,493.00", 07/01/2026, HDFCH00725070059," NETBANK, MUMBAI"
, 13396NMCSALDEC25,,,"-13,933.00", 07/01/2026, HDFCH00725070060," NETBANK, MUMBAI"
, 15841NMCSALDEC25,,,"-16,402.00", 07/01/2026, HDFCH00725070061," NETBANK, MUMBAI"
, 14524NMCSALDEC25,,,"-14,344.00", 07/01/2026, HDFCH00725070062," NETBANK, MUMBAI"
, 13822NMCSALDEC25,,,"-18,904.00", 07/01/2026, HDFCH00725070063," NETBANK, MUMBAI"
, 12652NMCSALDEC25,,,"-18,155.70", 07/01/2026, HDFCH00725070065," NETBANK, MUMBAI"
, 10230NMCSALDEC25,,,"-31,549.80", 07/01/2026, HDFCH00725070066," NETBANK, MUMBAI"
, 10785NMCSALDEC25,,,"-26,118.70", 07/01/2026, HDFCH00725070067," NETBANK, MUMBAI"
, 10275NMCSALDEC25,,,"-26,503.95", 07/01/2026, HDFCH00725070068," NETBANK, MUMBAI"
, 13876NMCSALDEC25,,,"-18,155.87", 07/01/2026, HDFCH00725070069," NETBANK, MUMBAI"
, 15275NMCSALDEC25,,,"-13,766.32", 07/01/2026, HDFCH00725070070," NETBANK, MUMBAI"
, 80012NMCSALDEC25,,,"-15,932.80", 07/01/2026, HDFCH00725070071," NETBANK, MUMBAI"
, 14743NMCSALDEC25,,,"-17,871.90", 07/01/2026, HDFCH00725070072," NETBANK, MUMBAI"
, 14861NMCSALDEC25,,,"-20,259.85", 07/01/2026, HDFCH00725070073," NETBANK, MUMBAI"
, 14760NMCSALDEC25,,,"-19,204.75", 07/01/2026, HDFCH00725070074," NETBANK, MUMBAI"
, 14808NMCSALDEC25,,,"-17,561.75", 07/01/2026, HDFCH00725070076," NETBANK, MUMBAI"
, 14832NMCSALDEC25,,,"-16,147.55", 07/01/2026, HDFCH00725070077," NETBANK, MUMBAI"
, 10225NMCSALDEC25,,,"-25,853.00", 07/01/2026, HDFCH00725070079," NETBANK, MUMBAI"
, 10222NMCSALDEC25,,,"-23,858.71", 07/01/2026, HDFCH00725070080," NETBANK, MUMBAI"
, 10106NMCSALDEC25,,,"-31,747.00", 07/01/2026, HDFCH00725070081," NETBANK, MUMBAI"
, 10223NMCSALDEC25,,,"-27,288.00", 07/01/2026, HDFCH00725070083," NETBANK, MUMBAI"
, 10136NMCSALDEC25,,,"-28,194.75", 07/01/2026, HDFCH00725070084," NETBANK, MUMBAI"
, 10017NMCSALDEC25,,,"-38,277.00", 07/01/2026, HDFCH00725070085," NETBANK, MUMBAI"
, 10151NMCSALDEC25,,,"-31,092.70", 07/01/2026, HDFCH00725070087," NETBANK, MUMBAI"
, 10137NMCSALDEC25,,,"-22,061.00", 07/01/2026, HDFCH00725070088," NETBANK, MUMBAI"
, 14750NMCSALDEC25,,,"-17,666.15", 07/01/2026, HDFCH00725070089," NETBANK, MUMBAI"
, 14740NMCSALDEC25,,,"-17,132.00", 07/01/2026, HDFCH00725070090," NETBANK, MUMBAI"
, 14476NMCSALDEC25,,,"-21,909.00", 07/01/2026, HDFCH00725070091," NETBANK, MUMBAI"
, 14940NMCSALDEC25,,,"-18,046.25", 07/01/2026, HDFCH00725070092," NETBANK, MUMBAI"
, 14587NMCSALDEC25,,,"-15,244.78", 07/01/2026, HDFCH00725070094," NETBANK, MUMBAI"
, 14576NMCSALDEC25,,,"-18,524.00", 07/01/2026, HDFCH00725070095," NETBANK, MUMBAI"
, 14593NMCSALDEC25,,,"-17,050.70", 07/01/2026, HDFCH00725070096," NETBANK, MUMBAI"
, 14553NMCSALDEC25,,,"-16,921.13", 07/01/2026, HDFCH00725070097," NETBANK, MUMBAI"
, 14736NMCSALDEC25,,,"-17,004.94", 07/01/2026, HDFCH00725070098," NETBANK, MUMBAI"
, 13265NMCSALDEC25,,,"-20,987.70", 07/01/2026, HDFCH00725070099," NETBANK, MUMBAI"
, 14606NMCSALDEC25,,,"-18,204.70", 07/01/2026, HDFCH00725070101," NETBANK, MUMBAI"
, 14814NMCSALDEC25,,,"-41,863.00", 07/01/2026, HDFCH00725070102," NETBANK, MUMBAI"
, 10009NMCSALDEC25,,,"-34,196.20", 07/01/2026, HDFCH00725070103," NETBANK, MUMBAI"
, 10006NMCSALDEC25,,,"-22,051.00", 07/01/2026, HDFCH00725070104," NETBANK, MUMBAI"
, 10126NMCSALDEC25,,,"-43,057.52", 07/01/2026, HDFCH00725070105," NETBANK, MUMBAI"
, 10010NMCSALDEC25,,,"-45,788.00", 07/01/2026, HDFCH00725070106," NETBANK, MUMBAI"
, 14789NMCSALDEC25,,,"-31,376.00", 07/01/2026, HDFCH00725070107," NETBANK, MUMBAI"
, 14813NMCSALDEC25,,,"-38,478.00", 07/01/2026, HDFCH00725070108," NETBANK, MUMBAI"
, 80201NMCSALDEC25,,,"-18,934.00", 07/01/2026, HDFCH00725070109," NETBANK, MUMBAI"
, 80202NMCSALDEC25,,,"-26,993.00", 07/01/2026, HDFCH00725070110," NETBANK, MUMBAI"
, 80203NMCSALDEC25,,,"-21,934.10", 07/01/2026, HDFCH00725070111," NETBANK, MUMBAI"
, 80206NMCSALDEC25,,,"-26,326.00", 07/01/2026, HDFCH00725070114," NETBANK, MUMBAI"
, 14821NMCSALDEC25,,,"-27,756.00", 07/01/2026, HDFCH00725070115," NETBANK, MUMBAI"
, 10026NMCSALDEC25,,,"-35,667.00", 07/01/2026, HDFCH00725070116," NETBANK, MUMBAI"
, 10133NMCSALDEC25,,,"-16,081.00", 07/01/2026, HDFCH00725070117," NETBANK, MUMBAI"
, 10005NMCSALDEC25,,,"-39,889.00", 07/01/2026, HDFCH00725070119," NETBANK, MUMBAI"
, 10187NMCSALDEC25,,,"-15,859.95", 07/01/2026, HDFCH00725070120," NETBANK, MUMBAI"
, 15636NMCSALDEC25,,,"-22,269.00", 07/01/2026, HDFCH00725070121," NETBANK, MUMBAI"
, 601075831216KARMVEER SINGH 15179,,,"-14,187.00", 07/01/2026, HDFCH00725090449," NETBANK, MUMBAI"
, Kenbar Auto Pv-1100B0226012452,,,"-150,000.00", 07/01/2026, 601077071179," NETBANK, MUMBAI"
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010712158085,," 10,000,000.00",, 07/01/2026, SBINR12026010712158085, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010712158031,," 10,000,000.00",, 07/01/2026, SBINR12026010712158031, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010712158052,," 10,000,000.00",, 07/01/2026, SBINR12026010712158052, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010712158029,," 10,000,000.00",, 07/01/2026, SBINR12026010712158029, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010712158028,," 10,000,000.00",, 07/01/2026, SBINR12026010712158028, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010712158034,," 10,000,000.00",, 07/01/2026, SBINR12026010712158034, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010712158053,," 10,000,000.00",, 07/01/2026, SBINR12026010712158053, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010712158027,," 10,000,000.00",, 07/01/2026, SBINR12026010712158027, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010712158050,," 10,000,000.00",, 07/01/2026, SBINR12026010712158050, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010712158032,," 10,000,000.00",, 07/01/2026, SBINR12026010712158032, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010712158026,," 10,000,000.00",, 07/01/2026, SBINR12026010712158026, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026010712158312,," 10,000,000.00",, 07/01/2026, SBINR12026010712158312, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026010712158332,," 10,000,000.00",, 07/01/2026, SBINR12026010712158332, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026010712158313,," 10,000,000.00",, 07/01/2026, SBINR12026010712158313, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026010712158333,," 10,000,000.00",, 07/01/2026, SBINR12026010712158333, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026010712158366,," 10,000,000.00",, 07/01/2026, SBINR12026010712158366, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026010712158334,," 10,000,000.00",, 07/01/2026, SBINR12026010712158334, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010712158790,," 10,000,000.00",, 07/01/2026, SBINR12026010712158790, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010712158739,," 10,000,000.00",, 07/01/2026, SBINR12026010712158739, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010712158807,," 10,000,000.00",, 07/01/2026, SBINR12026010712158807, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010712158791,," 10,000,000.00",, 07/01/2026, SBINR12026010712158791, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010712158820,," 10,000,000.00",, 07/01/2026, SBINR12026010712158820, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010712158806,," 10,000,000.00",, 07/01/2026, SBINR12026010712158806, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010712158810,," 10,000,000.00",, 07/01/2026, SBINR12026010712158810, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010712158792,," 10,000,000.00",, 07/01/2026, SBINR12026010712158792, CMS TF WBO MUMBAI
, 57500000342857-2857,,,"-200,000,000.00", 07/01/2026, 601077435328," NETBANK, MUMBAI"
, 57500000342857-2857,,,"-90,000,000.00", 07/01/2026, 601077429558," NETBANK, MUMBAI"
, Sandeep Singh-1100Sal10067Dec-2025,,,"-60,311.00", 07/01/2026, HDFCH00725578194," NETBANK, MUMBAI"
, Narendra Das-1100Sal10168Dec-2025,,,"-49,393.00", 07/01/2026, HDFCH00725571982," NETBANK, MUMBAI"
, Mohan Shyam Sh-1100Sal10034Dec-2025,,,"-106,218.00", 07/01/2026, HDFCH00725576972," NETBANK, MUMBAI"
, Pawan Chaurash-1100Sal10037Dec-2025,,,"-54,085.00", 07/01/2026, HDFCH00725577684," NETBANK, MUMBAI"
, Sunil Kumar-1100Sal10072Dec-2025,,,"-26,766.00", 07/01/2026, HDFCH00725577096," NETBANK, MUMBAI"
, Himanshu Gupta-1100Sal10147Dec-2025,,,"-80,221.00", 07/01/2026, HDFCH00725579231," NETBANK, MUMBAI"
, Virender Shima-1100Sal10043Dec-2025,,,"-173,178.00", 07/01/2026, HDFCH00725578231," NETBANK, MUMBAI"
, Parasnath Yada-1100Sal10155Dec-2025,,,"-95,290.00", 07/01/2026, HDFCH00725580191," NETBANK, MUMBAI"
, Deen Mohammad-1100Sal10058Dec-2025,,,"-88,403.00", 07/01/2026, HDFCH00725573815," NETBANK, MUMBAI"
, Ashish Chandra-1100Sal10078Dec-2025,,,"-39,489.00", 07/01/2026, HDFCH00725581218," NETBANK, MUMBAI"
, Sachin Dudeja-1100Sal10074Dec-2025,,,"-109,530.00", 07/01/2026, HDFCH00725573834," NETBANK, MUMBAI"
, Himanshu Pradh-1100Sal10146Dec-2025,,,"-53,564.00", 07/01/2026, HDFCH00725578025," NETBANK, MUMBAI"
