Book Date,  Description,  Book Balance,  Credit,  Debit,  Value Date,  Ref/Chq NO,  Transaction Branch
, RTGS Cr ECMS-PUNB0107400-CMRLTD201LCU100256-INDIAN METAL SCRAP-08281131002695,," 250,000.00",, 26/01/2026, PUNBR52026012612287411, FORT
, FT Cr ECMS-CMRGR1100LCU101902-PRATEEK TRADERS-01532320000994,," 743,700.00",, 26/01/2026, NB1KRAITGWZXMVN9," NETBANK, MUMBAI"
1/27/2026,Opening balance,"-31,597,740.83",,,,,
, RTGS Cr ECMS-UTIB0003202-CMRGR1100LCU101763-MATHURIA TRADERS-924020041901864,," 856,170.00",, 27/01/2026, UTIBR72026012700570197, FORT
, FT Cr ECMS-CMRGR1100LCU101884-VIPUL TRADERS-50200076602625,," 4,577,000.00",, 27/01/2026, NBDFBKF1EE7BLTL2," NETBANK, MUMBAI"
, NEFT Cr ECMS-CNRB0019251-CMRLTD151LCU101556-M S ENTERPRISES-92511400000402,," 262,500.00",, 27/01/2026, CNRBH00105857519, FORT
, IMPS CR ECMS-9015-CMRGR1100LCU101552-RAM UGRAH-125004619169,," 284,000.00",, 27/01/2026, 602709000372, FARIDABAD HARYANA
, FT Cr ECMS-CMRLTD151LCU101434-AMIT ALLOYS COMPANY-99997635077350,," 161,000.00",, 27/01/2026, HDFC01B04706EC5D," NETBANK, MUMBAI"
, FT Cr ECMS-CMRLTD152LCU101434-AMIT ALLOYS COMPANY-99997635077350,," 127,900.00",, 27/01/2026, HDFC0534EFB40107," NETBANK, MUMBAI"
, VASHISTA LOGIS-1100B0226013432,,,"-314,275.04", 27/01/2026, 601244508833," NETBANK, MUMBAI"
, RTGS Cr ECMS-ICIC0001914-CMRGR1100LCU101382-GREEN EARTH METALLOYS LLP-191405001460,," 3,075,000.00",, 27/01/2026, ICICR52026012700257268, FORT
, IMPS CR ECMS-9751-cmrgr1100lcu101943-MR TRADING CO-89650005280,," 500,000.00",, 27/01/2026, 602711294982, FARIDABAD HARYANA
, IMPS CR ECMS-9751-cmrgr1100lcu101943-MR TRADING CO-89650005280,," 365,000.00",, 27/01/2026, 602711295932, FARIDABAD HARYANA
, RTGS Cr-SBIN0000TBU-e PAO GST REFUNDS THROUGH SINGLE AU-CMR GREEN TECHNOLOGIES LIMITED-SBINR52026012714153652,," 90,000,000.00",, 27/01/2026, SBINR52026012714153652, FORT
